I_rad,T_out,H_air,T_air,I_rad,T_out,H_air,T_air
337.5693,30.9,38.3,42.3,145.6816,33.8,36,43.7
328.8128,31.2,36,43.8,146.2875,33.4,35.5,44.1
337.7768,32.1,34.5,44.8,149.0016,33.4,36.3,44.1
363.291,31.6,33.4,44.9,145.6318,33.6,36.2,44
357.1407,32.4,33.5,45.4,141.9383,34,35.8,44.2
330.2321,32.9,32.2,45.3,140.4941,34.2,34.5,44.5
189.987,32.9,32.5,44.9,136.95,34.7,35.8,43.9
183.5047,32.6,33.4,44.6,134.0367,34.9,36,43.1
164.2155,32.8,34.7,44,135.7133,34.7,35.3,43.5
154.6954,33,36.1,44,128.5421,36.2,35.3,44.4
151.4584,33.5,34.8,44.2,140.7182,35.9,34,44.3
150.0391,32.7,34.2,43.9,152.6702,37.2,32.9,45.2
145.6816,33.8,36,43.7,167.3529,37.1,31.6,45.7
146.2875,33.4,35.5,44.1,157.2269,36.7,30.4,46.4
149.0016,33.4,36.3,44.1,136.2196,37.2,30.8,45.7
145.6318,33.6,36.2,44,168.7224,36.6,29.6,45.5
141.9383,34,35.8,44.2,172.5902,36.6,28.7,45.6
140.4941,34.2,34.5,44.5,154.8697,37,29.2,45.5
136.95,34.7,35.8,43.9,148.5451,39,28.9,46.4
134.0367,34.9,36,43.1,141.5316,39.9,28.8,46.9
135.7133,34.7,35.3,43.5,140.6933,38.3,28.7,47.1
128.5421,36.2,35.3,44.4,127.8117,39.2,27.7,46.2
140.7182,35.9,34,44.3,125.1806,40.4,28.5,46.4
152.6702,37.2,32.9,45.2,110.5975,37.9,27.6,46.2
167.3529,37.1,31.6,45.7,107.2028,38.4,29.1,45.8
157.2269,36.7,30.4,46.4,134.0865,38.9,28.3,46.3
136.2196,37.2,30.8,45.7,139.7637,37.7,27.7,45.9
168.7224,36.6,29.6,45.5,136.2445,37.2,28.5,44.7
172.5902,36.6,28.7,45.6,130.3681,37.2,29.2,43.8
154.8697,37,29.2,45.5,124.2427,37.1,29.1,43.7
148.5451,39,28.9,46.4,119.7607,36.5,29.8,43.2
141.5316,39.9,28.8,46.9,107.5846,36.2,31.1,42.7
140.6933,38.3,28.7,47.1,93.2339,36.1,31.9,42.3
