Irad,Tout,Hair,Tair,Irad,Tout,Hair,Tair
0,26.5,84.1,27.5,0.1659,26.3,84.2,27.1
0,26.6,84.9,27.5,0.4819,25.9,84.9,27.1
0,26.7,84.1,27.5,0.8848,25.9,87,27.1
0,26.8,85,27.4,1.6827,25.9,87.8,26.9
0,26.3,84.8,27.4,2.4569,25.7,88.4,26.8
0,26.7,84.5,27.3,3.397,25.7,88.5,26.8
0,26.5,83.5,27.3,3.4918,25.8,89.4,26.6
0,26.5,83.2,27.2,4.819,26,89.5,26.6
0,26.4,83.7,27.2,6.5017,25.9,89.8,26.6
0,26.2,83.3,27.2,5.9013,25.5,87.9,27.2
0,26.3,83.1,27.1,11.2496,25.2,87.1,27.5
0.0474,26.4,83.4,27.1,18.2569,25.2,86.8,27.6
0.1659,26.3,84.2,27.1,23.6131,25.2,85.8,28
0.4819,25.9,84.9,27.1,29.6803,24.8,84.8,28.2
0.8848,25.9,87,27.1,35.8976,25,84.4,28.6
1.6827,25.9,87.8,26.9,44.2795,24.8,83.5,28.9
2.4569,25.7,88.4,26.8,49.8727,24.9,81.5,29.4
3.397,25.7,88.5,26.8,58.3573,25.1,80.8,30
3.4918,25.8,89.4,26.6,71.0289,25.2,78.7,30.7
4.819,26,89.5,26.6,58.934,25.1,79.4,31.5
6.5017,25.9,89.8,26.6,71.6767,25.4,77.8,31.9
5.9013,25.5,87.9,27.2,87.8954,25.6,76,32.4
11.2496,25.2,87.1,27.5,92.0113,26.1,76,32.8
18.2569,25.2,86.8,27.6,59.5818,26.4,75.3,33.4
23.6131,25.2,85.8,28,53.1749,26.8,72.7,33.7
29.6803,24.8,84.8,28.2,70.8393,27.4,72.6,34
35.8976,25,84.4,28.6,68.1849,27.7,71.8,34.3
44.2795,24.8,83.5,28.9,75.919,27.9,71,34.5
49.8727,24.9,81.5,29.4,112.7883,28.2,68.5,35
58.3573,25.1,80.8,30,154.2317,28.2,62.3,35.9
71.0289,25.2,78.7,30.7,192.3492,28.5,63.5,37.3
58.934,25.1,79.4,31.5,114.8818,28.8,59.5,38.4
71.6767,25.4,77.8,31.9,183.6039,29,53.7,39.6
87.8954,25.6,76,32.4,141.8682,28.6,54.1,40.5
92.0113,26.1,76,32.8,102.0601,28.5,53.4,40.7
59.5818,26.4,75.3,33.4,131.1005,28.7,48.6,40.9
53.1749,26.8,72.7,33.7,120.7831,28.8,49,41.1
70.8393,27.4,72.6,34,124.0616,30,46,41.4
68.1849,27.7,71.8,34.3,157.7709,29.2,45.4,41.9
75.919,27.9,71,34.5,104.0904,30.6,50.5,42
112.7883,28.2,68.5,35,131.7957,30.6,44.9,41.9
154.2317,28.2,62.3,35.9,140.7148,30.7,49,41.9
192.3492,28.5,63.5,37.3,123.6271,31,46.9,42.4
114.8818,28.8,59.5,38.4,149.1915,30.9,43.6,42.8
183.6039,29,53.7,39.6,203.7647,31.5,47.4,39.8
141.8682,28.6,54.1,40.5,109.9917,32.4,51.6,37.6
